Fecha,Visualizaciones de vídeos,Público alcanzado,Visualizaciones del perfil,Me gusta,Compartidos,Comentarios,Clics en enlaces de productos,Pagos completados del enlace del producto,GMV de enlaces de productos,Clics en el sitio web ,Clics en el número de teléfono ,Envío de clientes potenciales,Clics en enlaces de descarga de aplicaciones,Crecimiento neto,Nuevos seguidores,Seguidores perdidos
2025/06/01,1110,1100,14,132,3,21,0,0,0,0,0,0,0,2,3,1
2025/06/02,8309,8268,25,1701,6,67,0,0,0,1,0,0,0,21,21,0
2025/06/03,1091,1072,11,387,0,9,0,0,0,0,0,0,0,2,2,0
2025/06/04,585,534,7,104,5,31,0,0,0,0,0,0,0,6,6,0
2025/06/05,703,646,20,68,3,32,0,0,0,0,0,0,0,10,10,0
2025/06/06,2667,2594,56,62,4,25,0,0,0,1,0,0,0,22,22,0
2025/06/07,250,187,6,30,0,5,0,0,0,0,0,0,0,7,7,0
2025/06/08,737,701,12,97,0,24,0,0,0,0,0,0,0,8,8,0
2025/06/09,782,697,12,114,0,20,0,0,0,1,0,0,0,3,5,2
2025/06/10,745,678,8,118,2,25,0,0,0,0,0,0,0,6,6,0
2025/06/11,816,767,8,120,0,27,0,0,0,1,0,0,0,2,2,0
2025/06/12,2074,1950,18,63,6,11,0,0,0,1,0,0,0,8,9,1
2025/06/13,4296,4238,36,214,3,33,0,0,0,0,0,0,0,42,42,0
2025/06/14,1245,1202,21,183,6,28,0,0,0,0,0,0,0,17,17,0
2025/06/15,7738,7671,40,360,8,43,0,0,0,2,0,0,0,10,11,1
2025/06/16,7706,7633,41,636,52,55,0,0,0,3,0,0,0,117,118,1
2025/06/17,2241,2151,42,225,15,42,0,0,0,2,0,0,0,12,13,1
2025/06/18,6695,6543,41,329,9,73,0,0,0,1,0,0,0,15,17,2
2025/06/19,11309,11210,90,722,72,78,0,0,0,0,0,0,0,117,119,2
2025/06/20,1459,1298,34,215,4,60,0,0,0,2,0,0,0,5,6,1
